n,k,flip_rate,plan,observation_order,intervention_width,query_count,samples_per_query,total_samples,cutoff,fwer_upper,power_lower,feasible
20,4,1/20,containment_s14,0,14,38760,34,1317840,3,7970025/268435456,9561663862055118667962330490665693397877/10485760000000000000000000000000000000000,1
20,4,1/20,containment_s15,0,15,15504,32,496128,3,5318841/134217728,39779751231255353039039393099566226352061/42949672960000000000000000000000000000000,1
20,4,1/20,containment_s16,0,16,4845,30,145350,3,10964235/268435456,252122214228255473989500026077047454273/268435456000000000000000000000000000000,1
20,4,1/20,containment_s17,0,17,1140,28,31920,3,1049655/33554432,51052457885008465110830371239305843/53687091200000000000000000000000000,1
20,4,1/20,containment_s18,0,18,190,21,3990,2,2755/65536,11994169162440651134064599/13107200000000000000000000,1
20,4,1/20,containment_s19,0,19,20,17,340,2,385/8192,62242620822486673273/65536000000000000000,1
20,4,1/20,full_clamp,0,20,1,9,9,1,5/128,11888494133/12800000000,1
20,4,3/20,boundary_s0,4,0,4845,58,281010,12,1434820608797655/36028797018963968,65866455761346270594918473823800447770672138918336439726370825195523018621/72057594037927936000000000000000000000000000000000000000000000000000000000,1
20,4,3/20,boundary_s1,3,1,19380,64,1240320,13,84055002647786085/2305843009213693952,83895169667720589350768618672996241053326495781540495793182302109838943225471365209/92233720368547758080000000000000000000000000000000000000000000000000000000000000000,1
20,4,3/20,boundary_s2,2,2,29070,68,1976760,14,74385862080290055/2305843009213693952,170258461021832893387666469149610627211230343364420351986470526918744709197802224255781/184467440737095516160000000000000000000000000000000000000000000000000000000000000000000,1
20,4,3/20,boundary_s3,1,3,19380,64,1240320,13,84055002647786085/2305843009213693952,83895169667720589350768618672996241053326495781540495793182302109838943225471365209/92233720368547758080000000000000000000000000000000000000000000000000000000000000000,1
20,4,3/20,boundary_s4,0,4,4845,58,281010,12,1434820608797655/36028797018963968,65866455761346270594918473823800447770672138918336439726370825195523018621/72057594037927936000000000000000000000000000000000000000000000000000000000,1
20,4,3/20,containment_s5,0,5,15504,63,976752,13,210585261173457/4503599627370496,4236442098593202981007770476839304386816006884517203226173014661443339822602039/4611686018427387904000000000000000000000000000000000000000000000000000000000000,1
20,4,3/20,containment_s6,0,6,38760,68,2635680,14,24795287360096685/576460752303423488,170258461021832893387666469149610627211230343364420351986470526918744709197802224255781/184467440737095516160000000000000000000000000000000000000000000000000000000000000000000,1
20,4,3/20,containment_s7,0,7,77520,70,5426400,14,38456407792468785/1152921504606846976,167082692214633902267796884414025573480569283332093373042700765130808195542760311600179021/184467440737095516160000000000000000000000000000000000000000000000000000000000000000000000,1
20,4,3/20,containment_s8,0,8,125970,74,9321780,15,2373391815218163675/73786976294838206464,27135953152483607051000324220533821284751038487147039420408187781514442403110251850674867310407/29514790517935282585600000000000000000000000000000000000000000000000000000000000000000000000000,1
20,4,3/20,containment_s9,0,9,167960,74,12429040,15,791130605072721225/18446744073709551616,27135953152483607051000324220533821284751038487147039420408187781514442403110251850674867310407/29514790517935282585600000000000000000000000000000000000000000000000000000000000000000000000000,1
20,4,3/20,containment_s10,0,10,184756,74,13671944,15,1740487331159986695/36893488147419103232,27135953152483607051000324220533821284751038487147039420408187781514442403110251850674867310407/29514790517935282585600000000000000000000000000000000000000000000000000000000000000000000000000,1
20,4,3/20,containment_s11,0,11,167960,74,12429040,15,791130605072721225/18446744073709551616,27135953152483607051000324220533821284751038487147039420408187781514442403110251850674867310407/29514790517935282585600000000000000000000000000000000000000000000000000000000000000000000000000,1
20,4,3/20,containment_s12,0,12,125970,74,9321780,15,2373391815218163675/73786976294838206464,27135953152483607051000324220533821284751038487147039420408187781514442403110251850674867310407/29514790517935282585600000000000000000000000000000000000000000000000000000000000000000000000000,1
20,4,3/20,containment_s13,0,13,77520,70,5426400,14,38456407792468785/1152921504606846976,167082692214633902267796884414025573480569283332093373042700765130808195542760311600179021/184467440737095516160000000000000000000000000000000000000000000000000000000000000000000000,1
20,4,3/20,containment_s14,0,14,38760,68,2635680,14,24795287360096685/576460752303423488,170258461021832893387666469149610627211230343364420351986470526918744709197802224255781/184467440737095516160000000000000000000000000000000000000000000000000000000000000000000,1
20,4,3/20,containment_s15,0,15,15504,63,976752,13,210585261173457/4503599627370496,4236442098593202981007770476839304386816006884517203226173014661443339822602039/4611686018427387904000000000000000000000000000000000000000000000000000000000000,1
20,4,3/20,containment_s16,0,16,4845,58,281010,12,1434820608797655/36028797018963968,65866455761346270594918473823800447770672138918336439726370825195523018621/72057594037927936000000000000000000000000000000000000000000000000000000000,1
20,4,3/20,containment_s17,0,17,1140,52,59280,11,11515767406695/281474976710656,2070167326889957226279082778058028867125573691699126832800894604663/2251799813685248000000000000000000000000000000000000000000000000000,1
20,4,3/20,containment_s18,0,18,190,45,8550,10,103236839055/2199023255552,82230848575466555629330445714997131485225153216977841373/87960930222080000000000000000000000000000000000000000000,1
20,4,3/20,containment_s19,0,19,20,32,640,7,22574365/536870912,7766676588385517814484949135630046419297/8589934592000000000000000000000000000000,1
20,4,3/20,full_clamp,0,20,1,17,17,4,1607/32768,59066943224413682347/65536000000000000000,1
20,4,1/4,boundary_s0,4,0,4845,121,586245,36,15802404557090226701944727550281925/332306998946228968225951765070086144,399055439880886198440058722372538268673802310368560665469534821436249025/441711766194596082395824375185729628956870974218904739530401550323154944,1
20,4,1/4,boundary_s1,3,1,19380,135,2616300,40,16303778121001648146686627697726604605/340282366920938463463374607431768211456,26923640205707758532494957986482195824585869426682022389906045429039372097419051/29642774844752946028434172162224104410437116074403984394101141506025761187823616,1
20,4,1/4,boundary_s2,2,2,29070,139,4040730,41,465515311703836629541716114253422364665/10889035741470030830827987437816582766592,3434485547536091381751890015342309916853099657328167480087844058287803036986826103/3794275180128377091639574036764685364535950857523710002444946112771297432041422848,1
20,4,1/4,boundary_s3,1,3,19380,135,2616300,40,16303778121001648146686627697726604605/340282366920938463463374607431768211456,26923640205707758532494957986482195824585869426682022389906045429039372097419051/29642774844752946028434172162224104410437116074403984394101141506025761187823616,1
20,4,1/4,boundary_s4,0,4,4845,121,586245,36,15802404557090226701944727550281925/332306998946228968225951765070086144,399055439880886198440058722372538268673802310368560665469534821436249025/441711766194596082395824375185729628956870974218904739530401550323154944,1
20,4,1/4,containment_s5,0,5,15504,132,2046528,39,482574090261042292657908467480752587/10633823966279326983230456482242756608,418042438392760072130168188454083257765191754897714298777054007071689663596959/463168356949264781694283940034751631413079938662562256157830336031652518559744,1
20,4,1/4,containment_s6,0,6,38760,142,5503920,42,2098492567415481918642887185819785658755/43556142965880123323311949751266331066368,1769105125948288772139509061679662325115399890263736853349729971883885233920935342961/1942668892225729070919461906823518906642406839052139521251812409738904285205208498176,1
20,4,1/4,containment_s7,0,7,77520,149,11550480,44,135192460087095114030408257240215739383065/2787593149816327892691964784081045188247552,14529971782153612848029733405183293507259518443635446322191460522158600411960067792042377/15914343565113172548972231940698266883214596825515126958094847260581103904401068017057792,1
20,4,1/4,containment_s8,0,8,125970,153,19273410,45,8369941747962634165692537337350369459507285/178405961588244985132285746181186892047843328,1854212598051775357347887287286405175986530872848894519572413138033634668681171566963436061/2037035976334486086268445688409378161051468393665936250636140449354381299763336706183397376,1
20,4,1/4,containment_s9,0,9,167960,154,25865840,45,3918497108563778233521174580286358973580815/89202980794122492566142873090593446023921664,14699905568265476847920868133104772675803547714097123565108627409621205792165066271071574863/16296287810675888690147565507275025288411747149327490005089123594835050398106693649467179008,1
20,4,1/4,containment_s10,0,10,184756,154,28452424,45,8620693638840312113746584076629989741877793/178405961588244985132285746181186892047843328,14699905568265476847920868133104772675803547714097123565108627409621205792165066271071574863/16296287810675888690147565507275025288411747149327490005089123594835050398106693649467179008,1
20,4,1/4,containment_s11,0,11,167960,154,25865840,45,3918497108563778233521174580286358973580815/89202980794122492566142873090593446023921664,14699905568265476847920868133104772675803547714097123565108627409621205792165066271071574863/16296287810675888690147565507275025288411747149327490005089123594835050398106693649467179008,1
20,4,1/4,containment_s12,0,12,125970,153,19273410,45,8369941747962634165692537337350369459507285/178405961588244985132285746181186892047843328,1854212598051775357347887287286405175986530872848894519572413138033634668681171566963436061/2037035976334486086268445688409378161051468393665936250636140449354381299763336706183397376,1
20,4,1/4,containment_s13,0,13,77520,149,11550480,44,135192460087095114030408257240215739383065/2787593149816327892691964784081045188247552,14529971782153612848029733405183293507259518443635446322191460522158600411960067792042377/15914343565113172548972231940698266883214596825515126958094847260581103904401068017057792,1
20,4,1/4,containment_s14,0,14,38760,142,5503920,42,2098492567415481918642887185819785658755/43556142965880123323311949751266331066368,1769105125948288772139509061679662325115399890263736853349729971883885233920935342961/1942668892225729070919461906823518906642406839052139521251812409738904285205208498176,1
20,4,1/4,containment_s15,0,15,15504,132,2046528,39,482574090261042292657908467480752587/10633823966279326983230456482242756608,418042438392760072130168188454083257765191754897714298777054007071689663596959/463168356949264781694283940034751631413079938662562256157830336031652518559744,1
20,4,1/4,containment_s16,0,16,4845,121,586245,36,15802404557090226701944727550281925/332306998946228968225951765070086144,399055439880886198440058722372538268673802310368560665469534821436249025/441711766194596082395824375185729628956870974218904739530401550323154944,1
20,4,1/4,containment_s17,0,17,1140,110,125400,33,6098300028686657049774357301185/162259276829213363391578010288128,762309760893838043611928311596852169820999871681023168966892055853/842498333348457493583344221469363458551160763204392890034487820288,1
20,4,1/4,containment_s18,0,18,190,92,17480,28,3270886302921331582097605/77371252455336267181195264,693581709570700495868700283698485869360479729904408715/766247770432944429179173513575154591809369561091801088,1
20,4,1/4,containment_s19,0,19,20,71,1420,22,2686443516619128265/73786976294838206464,314051269744238495290113698866532350813375/348449143727040986586495598010130648530944,1
20,4,1/4,full_clamp,0,20,1,42,42,14,1496659417/34359738368,555786283484642355386633/604462909807314587353088,1
20,5,1/20,boundary_s0,5,0,15504,32,496128,3,5318841/134217728,39779751231255353039039393099566226352061/42949672960000000000000000000000000000000,1
20,5,1/20,boundary_s1,4,1,77520,35,2713200,3,4345965/134217728,970925900540556805608775689019674193784367/1073741824000000000000000000000000000000000,1
20,5,1/20,boundary_s2,3,2,155040,40,6201600,4,494630895/17179869184,5233519985823191481263725818124006294494379556177851/5497558138880000000000000000000000000000000000000000,1
20,5,1/20,boundary_s3,2,3,155040,40,6201600,4,494630895/17179869184,5233519985823191481263725818124006294494379556177851/5497558138880000000000000000000000000000000000000000,1
20,5,1/20,boundary_s4,1,4,77520,35,2713200,3,4345965/134217728,970925900540556805608775689019674193784367/1073741824000000000000000000000000000000000,1
20,5,1/20,boundary_s5,0,5,15504,32,496128,3,5318841/134217728,39779751231255353039039393099566226352061/42949672960000000000000000000000000000000,1
20,5,1/20,containment_s6,0,6,38760,34,1317840,3,7970025/268435456,9561663862055118667962330490665693397877/10485760000000000000000000000000000000000,1
20,5,1/20,containment_s7,0,7,77520,35,2713200,3,4345965/134217728,970925900540556805608775689019674193784367/1073741824000000000000000000000000000000000,1
20,5,1/20,containment_s8,0,8,125970,39,4912830,4,5805390435/137438953472,1051397717613797965628019678617826494429871652289/1099511627776000000000000000000000000000000000000,1
20,5,1/20,containment_s9,0,9,167960,40,6718400,4,2143400545/68719476736,5233519985823191481263725818124006294494379556177851/5497558138880000000000000000000000000000000000000000,1
20,5,1/20,containment_s10,0,10,184756,40,7390240,4,4715481199/137438953472,5233519985823191481263725818124006294494379556177851/5497558138880000000000000000000000000000000000000000,1
20,5,1/20,containment_s11,0,11,167960,40,6718400,4,2143400545/68719476736,5233519985823191481263725818124006294494379556177851/5497558138880000000000000000000000000000000000000000,1
20,5,1/20,containment_s12,0,12,125970,39,4912830,4,5805390435/137438953472,1051397717613797965628019678617826494429871652289/1099511627776000000000000000000000000000000000000,1
20,5,1/20,containment_s13,0,13,77520,35,2713200,3,4345965/134217728,970925900540556805608775689019674193784367/1073741824000000000000000000000000000000000,1
20,5,1/20,containment_s14,0,14,38760,34,1317840,3,7970025/268435456,9561663862055118667962330490665693397877/10485760000000000000000000000000000000000,1
20,5,1/20,containment_s15,0,15,15504,32,496128,3,5318841/134217728,39779751231255353039039393099566226352061/42949672960000000000000000000000000000000,1
20,5,1/20,containment_s16,0,16,4845,30,145350,3,10964235/268435456,252122214228255473989500026077047454273/268435456000000000000000000000000000000,1
20,5,1/20,containment_s17,0,17,1140,28,31920,3,1049655/33554432,51052457885008465110830371239305843/53687091200000000000000000000000000,1
20,5,1/20,containment_s18,0,18,190,21,3990,2,2755/65536,11994169162440651134064599/13107200000000000000000000,1
20,5,1/20,containment_s19,0,19,20,17,340,2,385/8192,62242620822486673273/65536000000000000000,1
20,5,1/20,full_clamp,0,20,1,9,9,1,5/128,11888494133/12800000000,1
20,5,3/20,boundary_s0,5,0,15504,63,976752,13,210585261173457/4503599627370496,4236442098593202981007770476839304386816006884517203226173014661443339822602039/4611686018427387904000000000000000000000000000000000000000000000000000000000000,1
20,5,3/20,boundary_s1,4,1,77520,70,5426400,14,38456407792468785/1152921504606846976,167082692214633902267796884414025573480569283332093373042700765130808195542760311600179021/184467440737095516160000000000000000000000000000000000000000000000000000000000000000000000,1
20,5,3/20,boundary_s2,3,2,155040,74,11472960,15,182568601170627975/4611686018427387904,27135953152483607051000324220533821284751038487147039420408187781514442403110251850674867310407/29514790517935282585600000000000000000000000000000000000000000000000000000000000000000000000000,1
20,5,3/20,boundary_s3,2,3,155040,74,11472960,15,182568601170627975/4611686018427387904,27135953152483607051000324220533821284751038487147039420408187781514442403110251850674867310407/29514790517935282585600000000000000000000000000000000000000000000000000000000000000000000000000,1
20,5,3/20,boundary_s4,1,4,77520,70,5426400,14,38456407792468785/1152921504606846976,167082692214633902267796884414025573480569283332093373042700765130808195542760311600179021/184467440737095516160000000000000000000000000000000000000000000000000000000000000000000000,1
20,5,3/20,boundary_s5,0,5,15504,63,976752,13,210585261173457/4503599627370496,4236442098593202981007770476839304386816006884517203226173014661443339822602039/4611686018427387904000000000000000000000000000000000000000000000000000000000000,1
20,5,3/20,containment_s6,0,6,38760,68,2635680,14,24795287360096685/576460752303423488,170258461021832893387666469149610627211230343364420351986470526918744709197802224255781/184467440737095516160000000000000000000000000000000000000000000000000000000000000000000,1
20,5,3/20,containment_s7,0,7,77520,70,5426400,14,38456407792468785/1152921504606846976,167082692214633902267796884414025573480569283332093373042700765130808195542760311600179021/184467440737095516160000000000000000000000000000000000000000000000000000000000000000000000,1
20,5,3/20,containment_s8,0,8,125970,74,9321780,15,2373391815218163675/73786976294838206464,27135953152483607051000324220533821284751038487147039420408187781514442403110251850674867310407/29514790517935282585600000000000000000000000000000000000000000000000000000000000000000000000000,1
20,5,3/20,containment_s9,0,9,167960,74,12429040,15,791130605072721225/18446744073709551616,27135953152483607051000324220533821284751038487147039420408187781514442403110251850674867310407/29514790517935282585600000000000000000000000000000000000000000000000000000000000000000000000000,1
20,5,3/20,containment_s10,0,10,184756,74,13671944,15,1740487331159986695/36893488147419103232,27135953152483607051000324220533821284751038487147039420408187781514442403110251850674867310407/29514790517935282585600000000000000000000000000000000000000000000000000000000000000000000000000,1
20,5,3/20,containment_s11,0,11,167960,74,12429040,15,791130605072721225/18446744073709551616,27135953152483607051000324220533821284751038487147039420408187781514442403110251850674867310407/29514790517935282585600000000000000000000000000000000000000000000000000000000000000000000000000,1
20,5,3/20,containment_s12,0,12,125970,74,9321780,15,2373391815218163675/73786976294838206464,27135953152483607051000324220533821284751038487147039420408187781514442403110251850674867310407/29514790517935282585600000000000000000000000000000000000000000000000000000000000000000000000000,1
20,5,3/20,containment_s13,0,13,77520,70,5426400,14,38456407792468785/1152921504606846976,167082692214633902267796884414025573480569283332093373042700765130808195542760311600179021/184467440737095516160000000000000000000000000000000000000000000000000000000000000000000000,1
20,5,3/20,containment_s14,0,14,38760,68,2635680,14,24795287360096685/576460752303423488,170258461021832893387666469149610627211230343364420351986470526918744709197802224255781/184467440737095516160000000000000000000000000000000000000000000000000000000000000000000,1
20,5,3/20,containment_s15,0,15,15504,63,976752,13,210585261173457/4503599627370496,4236442098593202981007770476839304386816006884517203226173014661443339822602039/4611686018427387904000000000000000000000000000000000000000000000000000000000000,1
20,5,3/20,containment_s16,0,16,4845,58,281010,12,1434820608797655/36028797018963968,65866455761346270594918473823800447770672138918336439726370825195523018621/72057594037927936000000000000000000000000000000000000000000000000000000000,1
20,5,3/20,containment_s17,0,17,1140,52,59280,11,11515767406695/281474976710656,2070167326889957226279082778058028867125573691699126832800894604663/2251799813685248000000000000000000000000000000000000000000000000000,1
20,5,3/20,containment_s18,0,18,190,45,8550,10,103236839055/2199023255552,82230848575466555629330445714997131485225153216977841373/87960930222080000000000000000000000000000000000000000000,1
20,5,3/20,containment_s19,0,19,20,32,640,7,22574365/536870912,7766676588385517814484949135630046419297/8589934592000000000000000000000000000000,1
20,5,3/20,full_clamp,0,20,1,17,17,4,1607/32768,59066943224413682347/65536000000000000000,1
20,5,1/4,boundary_s0,5,0,15504,132,2046528,39,482574090261042292657908467480752587/10633823966279326983230456482242756608,418042438392760072130168188454083257765191754897714298777054007071689663596959/463168356949264781694283940034751631413079938662562256157830336031652518559744,1
20,5,1/4,boundary_s1,4,1,77520,149,11550480,44,135192460087095114030408257240215739383065/2787593149816327892691964784081045188247552,14529971782153612848029733405183293507259518443635446322191460522158600411960067792042377/15914343565113172548972231940698266883214596825515126958094847260581103904401068017057792,1
20,5,1/4,boundary_s2,3,2,155040,154,23876160,45,904268563514718053889501826219928993903265/22300745198530623141535718272648361505980416,14699905568265476847920868133104772675803547714097123565108627409621205792165066271071574863/16296287810675888690147565507275025288411747149327490005089123594835050398106693649467179008,1
20,5,1/4,boundary_s3,2,3,155040,154,23876160,45,904268563514718053889501826219928993903265/22300745198530623141535718272648361505980416,14699905568265476847920868133104772675803547714097123565108627409621205792165066271071574863/16296287810675888690147565507275025288411747149327490005089123594835050398106693649467179008,1
20,5,1/4,boundary_s4,1,4,77520,149,11550480,44,135192460087095114030408257240215739383065/2787593149816327892691964784081045188247552,14529971782153612848029733405183293507259518443635446322191460522158600411960067792042377/15914343565113172548972231940698266883214596825515126958094847260581103904401068017057792,1
20,5,1/4,boundary_s5,0,5,15504,132,2046528,39,482574090261042292657908467480752587/10633823966279326983230456482242756608,418042438392760072130168188454083257765191754897714298777054007071689663596959/463168356949264781694283940034751631413079938662562256157830336031652518559744,1
20,5,1/4,containment_s6,0,6,38760,142,5503920,42,2098492567415481918642887185819785658755/43556142965880123323311949751266331066368,1769105125948288772139509061679662325115399890263736853349729971883885233920935342961/1942668892225729070919461906823518906642406839052139521251812409738904285205208498176,1
20,5,1/4,containment_s7,0,7,77520,149,11550480,44,135192460087095114030408257240215739383065/2787593149816327892691964784081045188247552,14529971782153612848029733405183293507259518443635446322191460522158600411960067792042377/15914343565113172548972231940698266883214596825515126958094847260581103904401068017057792,1
20,5,1/4,containment_s8,0,8,125970,153,19273410,45,8369941747962634165692537337350369459507285/178405961588244985132285746181186892047843328,1854212598051775357347887287286405175986530872848894519572413138033634668681171566963436061/2037035976334486086268445688409378161051468393665936250636140449354381299763336706183397376,1
20,5,1/4,containment_s9,0,9,167960,154,25865840,45,3918497108563778233521174580286358973580815/89202980794122492566142873090593446023921664,14699905568265476847920868133104772675803547714097123565108627409621205792165066271071574863/16296287810675888690147565507275025288411747149327490005089123594835050398106693649467179008,1
20,5,1/4,containment_s10,0,10,184756,154,28452424,45,8620693638840312113746584076629989741877793/178405961588244985132285746181186892047843328,14699905568265476847920868133104772675803547714097123565108627409621205792165066271071574863/16296287810675888690147565507275025288411747149327490005089123594835050398106693649467179008,1
20,5,1/4,containment_s11,0,11,167960,154,25865840,45,3918497108563778233521174580286358973580815/89202980794122492566142873090593446023921664,14699905568265476847920868133104772675803547714097123565108627409621205792165066271071574863/16296287810675888690147565507275025288411747149327490005089123594835050398106693649467179008,1
20,5,1/4,containment_s12,0,12,125970,153,19273410,45,8369941747962634165692537337350369459507285/178405961588244985132285746181186892047843328,1854212598051775357347887287286405175986530872848894519572413138033634668681171566963436061/2037035976334486086268445688409378161051468393665936250636140449354381299763336706183397376,1
20,5,1/4,containment_s13,0,13,77520,149,11550480,44,135192460087095114030408257240215739383065/2787593149816327892691964784081045188247552,14529971782153612848029733405183293507259518443635446322191460522158600411960067792042377/15914343565113172548972231940698266883214596825515126958094847260581103904401068017057792,1
20,5,1/4,containment_s14,0,14,38760,142,5503920,42,2098492567415481918642887185819785658755/43556142965880123323311949751266331066368,1769105125948288772139509061679662325115399890263736853349729971883885233920935342961/1942668892225729070919461906823518906642406839052139521251812409738904285205208498176,1
20,5,1/4,containment_s15,0,15,15504,132,2046528,39,482574090261042292657908467480752587/10633823966279326983230456482242756608,418042438392760072130168188454083257765191754897714298777054007071689663596959/463168356949264781694283940034751631413079938662562256157830336031652518559744,1
20,5,1/4,containment_s16,0,16,4845,121,586245,36,15802404557090226701944727550281925/332306998946228968225951765070086144,399055439880886198440058722372538268673802310368560665469534821436249025/441711766194596082395824375185729628956870974218904739530401550323154944,1
20,5,1/4,containment_s17,0,17,1140,110,125400,33,6098300028686657049774357301185/162259276829213363391578010288128,762309760893838043611928311596852169820999871681023168966892055853/842498333348457493583344221469363458551160763204392890034487820288,1
20,5,1/4,containment_s18,0,18,190,92,17480,28,3270886302921331582097605/77371252455336267181195264,693581709570700495868700283698485869360479729904408715/766247770432944429179173513575154591809369561091801088,1
20,5,1/4,containment_s19,0,19,20,71,1420,22,2686443516619128265/73786976294838206464,314051269744238495290113698866532350813375/348449143727040986586495598010130648530944,1
20,5,1/4,full_clamp,0,20,1,42,42,14,1496659417/34359738368,555786283484642355386633/604462909807314587353088,1
20,6,1/20,boundary_s0,6,0,38760,34,1317840,3,7970025/268435456,9561663862055118667962330490665693397877/10485760000000000000000000000000000000000,1
20,6,1/20,boundary_s1,5,1,232560,40,9302400,4,1483892685/34359738368,5233519985823191481263725818124006294494379556177851/5497558138880000000000000000000000000000000000000000,1
20,6,1/20,boundary_s2,4,2,581400,42,24418800,4,4517259975/137438953472,207306783428675448772473991025054826514617581635743027/219902325555200000000000000000000000000000000000000000,1
20,6,1/20,boundary_s3,3,3,775200,42,32558400,4,1505753325/34359738368,207306783428675448772473991025054826514617581635743027/219902325555200000000000000000000000000000000000000000,1
20,6,1/20,boundary_s4,2,4,581400,42,24418800,4,4517259975/137438953472,207306783428675448772473991025054826514617581635743027/219902325555200000000000000000000000000000000000000000,1
20,6,1/20,boundary_s5,1,5,232560,40,9302400,4,1483892685/34359738368,5233519985823191481263725818124006294494379556177851/5497558138880000000000000000000000000000000000000000,1
20,6,1/20,boundary_s6,0,6,38760,34,1317840,3,7970025/268435456,9561663862055118667962330490665693397877/10485760000000000000000000000000000000000,1
20,6,1/20,containment_s7,0,7,77520,35,2713200,3,4345965/134217728,970925900540556805608775689019674193784367/1073741824000000000000000000000000000000000,1
20,6,1/20,containment_s8,0,8,125970,39,4912830,4,5805390435/137438953472,1051397717613797965628019678617826494429871652289/1099511627776000000000000000000000000000000000000,1
20,6,1/20,containment_s9,0,9,167960,40,6718400,4,2143400545/68719476736,5233519985823191481263725818124006294494379556177851/5497558138880000000000000000000000000000000000000000,1
20,6,1/20,containment_s10,0,10,184756,40,7390240,4,4715481199/137438953472,5233519985823191481263725818124006294494379556177851/5497558138880000000000000000000000000000000000000000,1
20,6,1/20,containment_s11,0,11,167960,40,6718400,4,2143400545/68719476736,5233519985823191481263725818124006294494379556177851/5497558138880000000000000000000000000000000000000000,1
20,6,1/20,containment_s12,0,12,125970,39,4912830,4,5805390435/137438953472,1051397717613797965628019678617826494429871652289/1099511627776000000000000000000000000000000000000,1
20,6,1/20,containment_s13,0,13,77520,35,2713200,3,4345965/134217728,970925900540556805608775689019674193784367/1073741824000000000000000000000000000000000,1
20,6,1/20,containment_s14,0,14,38760,34,1317840,3,7970025/268435456,9561663862055118667962330490665693397877/10485760000000000000000000000000000000000,1
20,6,1/20,containment_s15,0,15,15504,32,496128,3,5318841/134217728,39779751231255353039039393099566226352061/42949672960000000000000000000000000000000,1
20,6,1/20,containment_s16,0,16,4845,30,145350,3,10964235/268435456,252122214228255473989500026077047454273/268435456000000000000000000000000000000,1
20,6,1/20,containment_s17,0,17,1140,28,31920,3,1049655/33554432,51052457885008465110830371239305843/53687091200000000000000000000000000,1
20,6,1/20,containment_s18,0,18,190,21,3990,2,2755/65536,11994169162440651134064599/13107200000000000000000000,1
20,6,1/20,containment_s19,0,19,20,17,340,2,385/8192,62242620822486673273/65536000000000000000,1
20,6,1/20,full_clamp,0,20,1,9,9,1,5/128,11888494133/12800000000,1
20,6,3/20,boundary_s0,6,0,38760,68,2635680,14,24795287360096685/576460752303423488,170258461021832893387666469149610627211230343364420351986470526918744709197802224255781/184467440737095516160000000000000000000000000000000000000000000000000000000000000000000,1
20,6,3/20,boundary_s1,5,1,232560,75,17442000,15,681161802006040065/18446744073709551616,537874286923449840849216180080713757074985297817015959703122121827709824920418367072596768459/590295810358705651712000000000000000000000000000000000000000000000000000000000000000000000000,1
20,6,3/20,boundary_s2,4,2,581400,80,46512000,16,644809204007765257275/18889465931478580854784,2769312651920907683277353444825444652774095782519022249742219411853383144922454833585557815153364248341/3022314549036572936765440000000000000000000000000000000000000000000000000000000000000000000000000000000,1
20,6,3/20,boundary_s3,3,3,775200,80,62016000,16,214936401335921752425/4722366482869645213696,2769312651920907683277353444825444652774095782519022249742219411853383144922454833585557815153364248341/3022314549036572936765440000000000000000000000000000000000000000000000000000000000000000000000000000000,1
20,6,3/20,boundary_s4,2,4,581400,80,46512000,16,644809204007765257275/18889465931478580854784,2769312651920907683277353444825444652774095782519022249742219411853383144922454833585557815153364248341/3022314549036572936765440000000000000000000000000000000000000000000000000000000000000000000000000000000,1
20,6,3/20,boundary_s5,1,5,232560,75,17442000,15,681161802006040065/18446744073709551616,537874286923449840849216180080713757074985297817015959703122121827709824920418367072596768459/590295810358705651712000000000000000000000000000000000000000000000000000000000000000000000000,1
20,6,3/20,boundary_s6,0,6,38760,68,2635680,14,24795287360096685/576460752303423488,170258461021832893387666469149610627211230343364420351986470526918744709197802224255781/184467440737095516160000000000000000000000000000000000000000000000000000000000000000000,1
20,6,3/20,containment_s7,0,7,77520,70,5426400,14,38456407792468785/1152921504606846976,167082692214633902267796884414025573480569283332093373042700765130808195542760311600179021/184467440737095516160000000000000000000000000000000000000000000000000000000000000000000000,1
20,6,3/20,containment_s8,0,8,125970,74,9321780,15,2373391815218163675/73786976294838206464,27135953152483607051000324220533821284751038487147039420408187781514442403110251850674867310407/29514790517935282585600000000000000000000000000000000000000000000000000000000000000000000000000,1
20,6,3/20,containment_s9,0,9,167960,74,12429040,15,791130605072721225/18446744073709551616,27135953152483607051000324220533821284751038487147039420408187781514442403110251850674867310407/29514790517935282585600000000000000000000000000000000000000000000000000000000000000000000000000,1
20,6,3/20,containment_s10,0,10,184756,74,13671944,15,1740487331159986695/36893488147419103232,27135953152483607051000324220533821284751038487147039420408187781514442403110251850674867310407/29514790517935282585600000000000000000000000000000000000000000000000000000000000000000000000000,1
20,6,3/20,containment_s11,0,11,167960,74,12429040,15,791130605072721225/18446744073709551616,27135953152483607051000324220533821284751038487147039420408187781514442403110251850674867310407/29514790517935282585600000000000000000000000000000000000000000000000000000000000000000000000000,1
20,6,3/20,containment_s12,0,12,125970,74,9321780,15,2373391815218163675/73786976294838206464,27135953152483607051000324220533821284751038487147039420408187781514442403110251850674867310407/29514790517935282585600000000000000000000000000000000000000000000000000000000000000000000000000,1
20,6,3/20,containment_s13,0,13,77520,70,5426400,14,38456407792468785/1152921504606846976,167082692214633902267796884414025573480569283332093373042700765130808195542760311600179021/184467440737095516160000000000000000000000000000000000000000000000000000000000000000000000,1
